"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Machine Leg Extension",,"",0,"normal",43,15,,,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Machine Leg Extension",,"",1,"normal",43,15,,,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Parallel Bar Leg Raise",,"",0,"normal",,10,,,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Parallel Bar Leg Raise",,"",1,"normal",,10,,,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Split Squat",,"",0,"normal",,10,,,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Split Squat",,"",1,"normal",,10,,,
"JEFIT Workout 2026-03-09","9 Mar 2026, 15:26","9 Mar 2026, 17:00","","Split Squat",,"",2,"normal",,10,,,
"JEFIT Workout 2026-03-05","5 Mar 2026, 12:00","5 Mar 2026, 13:39","","Barbell Deadlift",,"",0,"normal",20,10,,,
"JEFIT Workout 2026-03-05","5 Mar 2026, 12:00","5 Mar 2026, 13:39","","Barbell Deadlift",,"",1,"normal",50,4,,,
"JEFIT Workout 2026-03-05","5 Mar 2026, 12:00","5 Mar 2026, 13:39","","Barbell Deadlift",,"",2,"normal",70,4,,,
"JEFIT Workout 2026-03-05","5 Mar 2026, 12:00","5 Mar 2026, 13:39","","Barbell Deadlift",,"",3,"normal",92.5,8,,,
"JEFIT Workout 2026-03-05","5 Mar 2026, 12:00","5 Mar 2026, 13:39","","Barbell Deadlift",,"",4,"normal",92.5,8,,,
"JEFIT Workout 2026-03-05","5 Mar 2026, 12:00","5 Mar 2026, 13:39","","Barbell Deadlift",,"",5,"normal",92.5,8,,,
"JEFIT Workout 2026-03-05","5 Mar 2026, 12:00","5 Mar 2026, 13:39","","Barbell Deadlift",,"",6,"normal",92.5,8,,,
"JEFIT Workout 2026-03-05","5 Mar 2026, 12:00","5 Mar 2026, 13:39","","Hip Thrust (Barbell)",,"",0,"normal",20,12,,,
"JEFIT Workout 2026-03-05","5 Mar 2026, 12:00","5 Mar 2026, 13:39","","Hip Thrust (Barbell)",,"",1,"normal",20,12,,,
"JEFIT Workout 2026-03-05","5 Mar 2026, 12:00","5 Mar 2026, 13:39","","Barbell Upright Row",,"",0,"normal",20,12,,,
