sleep_id,sleep_type,minutes_in_sleep_period,minutes_after_wake_up,minutes_to_fall_asleep,minutes_asleep,minutes_awake,minutes_longest_awakening,minutes_to_persistent_sleep,start_utc_offset,sleep_start,end_utc_offset,sleep_end,data_source,sleep_created,sleep_last_updated
388052284272835024,CLASSIC,157,0,0,143,14,0,0,+00:00,2024-01-04 03:06:00+0000,+00:00,2024-01-04 05:43:30+0000,DERIVED,2024-01-04 04:59:00+0000,2024-01-04 04:59:27+0000
3891426555293452248,STAGES,465,0,0,461,4,0,0,+00:00,2024-07-06 00:47:30+0000,+00:00,2024-07-06 08:32:30+0000,DERIVED,2024-07-06 06:45:00+0000,2024-07-06 06:45:31+0000
3920668563414885776,CLASSIC,118,0,0,113,5,0,0,+00:00,2024-08-15 16:23:00+0000,+00:00,2024-08-15 18:21:30+0000,DERIVED,2024-08-15 16:37:00+0000,2024-08-15 16:37:47+0000
3933163887331496784,STAGES,438,7,0,415,23,0,0,+00:00,2023-12-20 23:48:00+0000,+00:00,2023-12-21 07:13:00+0000,DERIVED,2023-12-21 13:49:00+0000,2023-12-21 13:49:36+0000
394735273090707960,STAGES,597,0,0,592,5,0,0,+00:00,2024-06-15 23:28:00+0000,+00:00,2024-06-16 09:25:00+0000,DERIVED,2024-06-16 07:39:00+0000,2024-06-16 07:39:25+0000
3981816696565089064,STAGES,465,0,0,454,11,0,0,+00:00,2023-11-15 23:43:30+0000,+00:00,2023-11-16 07:29:00+0000,DERIVED,2023-11-16 06:50:00+0000,2023-11-16 06:50:21+0000
3986287954565822448,STAGES,452,0,0,432,20,0,0,+00:00,2024-08-15 04:12:00+0000,+00:00,2024-08-15 11:44:00+0000,DERIVED,2024-08-15 16:37:00+0000,2024-08-15 16:37:48+0000
3987058019622211608,STAGES,475,0,0,452,23,0,0,+00:00,2023-11-08 23:06:00+0000,+00:00,2023-11-09 07:01:30+0000,DERIVED,2023-11-09 06:02:00+0000,2023-11-09 06:02:18+0000
4047440904754908064,STAGES,199,1,0,182,17,0,0,+00:00,2024-03-18 14:08:00+0000,+00:00,2024-03-18 17:28:00+0000,DERIVED,2024-03-18 16:53:00+0000,2024-03-18 16:53:32+0000
4071799650095799960,STAGES,582,0,0,557,25,0,0,+00:00,2024-02-18 00:09:00+0000,+00:00,2024-02-18 09:51:30+0000,DERIVED,2024-02-18 07:14:00+0000,2024-02-18 08:52:14+0000
4117233735576616448,STAGES,377,0,0,361,16,0,0,+00:00,2023-10-01 02:10:30+0000,+00:00,2023-10-01 08:27:30+0000,DERIVED,2023-10-01 06:51:00+0000,2023-10-01 06:51:05+0000
4147667496627691768,STAGES,334,0,0,316,18,0,0,+00:00,2024-01-11 00:04:30+0000,+00:00,2024-01-11 05:38:30+0000,DERIVED,2024-01-11 05:48:00+0000,2024-01-11 05:48:20+0000
4164598026566370688,STAGES,471,0,0,447,24,0,0,+00:00,2023-09-17 01:42:00+0000,+00:00,2023-09-17 09:33:30+0000,DERIVED,2023-09-17 08:07:00+0000,2023-09-17 08:08:02+0000
4194144050663038256,STAGES,412,0,0,408,4,0,0,+00:00,2024-02-16 00:15:30+0000,+00:00,2024-02-16 07:08:00+0000,DERIVED,2024-02-16 07:00:00+0000,2024-02-16 07:00:38+0000
4227204447344880776,STAGES,456,0,0,445,11,0,0,+00:00,2023-12-25 22:53:30+0000,+00:00,2023-12-26 06:30:00+0000,DERIVED,2023-12-26 12:50:00+0000,2023-12-26 12:50:55+0000
4233551080792564968,STAGES,515,1,0,501,14,0,0,+00:00,2023-10-29 22:11:00+0000,+00:00,2023-10-30 06:47:30+0000,DERIVED,2023-10-30 05:48:00+0000,2023-10-30 05:48:41+0000
4242763312943355112,STAGES,420,0,0,416,4,0,0,+00:00,2023-11-03 23:30:30+0000,+00:00,2023-11-04 06:31:00+0000,DERIVED,2023-11-04 05:53:00+0000,2023-11-04 05:53:04+0000
4243751218839944560,STAGES,779,0,0,726,53,0,0,+00:00,2023-09-23 20:51:30+0000,+00:00,2023-09-24 09:50:30+0000,DERIVED,2023-09-24 08:10:00+0000,2023-09-24 08:10:45+0000
4243912695440440144,STAGES,453,12,0,435,18,0,0,+00:00,2024-04-11 00:17:30+0000,+00:00,2024-04-11 08:03:00+0000,DERIVED,2024-04-11 12:17:00+0000,2024-04-11 12:17:34+0000
4255224814202636176,STAGES,342,3,0,319,23,0,0,+00:00,2023-10-23 01:19:00+0000,+00:00,2023-10-23 07:04:30+0000,DERIVED,2023-10-23 05:29:00+0000,2023-10-23 05:29:47+0000
4277696433661017888,STAGES,211,0,0,206,5,0,0,+00:00,2024-06-02 04:15:30+0000,+00:00,2024-06-02 07:46:30+0000,DERIVED,2024-06-02 06:11:00+0000,2024-06-02 06:11:30+0000
43162202028238896,STAGES,451,0,0,449,2,0,0,+00:00,2023-11-09 23:14:00+0000,+00:00,2023-11-10 06:45:30+0000,DERIVED,2023-11-10 05:46:00+0000,2023-11-10 05:46:11+0000
435624115553935768,STAGES,396,5,0,392,4,0,0,+00:00,2024-01-02 05:36:00+0000,+00:00,2024-01-02 12:17:30+0000,DERIVED,2024-01-02 14:35:00+0000,2024-01-02 14:35:21+0000
4364650297540298264,STAGES,470,0,0,461,9,0,0,+00:00,2024-02-09 23:58:30+0000,+00:00,2024-02-10 07:48:30+0000,DERIVED,2024-02-10 07:11:00+0000,2024-02-10 07:11:37+0000
439028971632731808,STAGES,273,0,0,249,24,0,0,+00:00,2024-04-19 11:45:00+0000,+00:00,2024-04-19 16:18:00+0000,DERIVED,2024-04-19 18:46:00+0000,2024-04-19 21:11:24+0000
4407044790228207696,STAGES,593,0,0,547,46,0,0,+00:00,2023-09-04 01:07:30+0000,+00:00,2023-09-04 11:00:30+0000,DERIVED,2023-09-04 11:36:00+0000,2023-09-04 15:01:51+0000
4413364992317953536,STAGES,530,0,0,517,13,0,0,+00:00,2024-07-03 23:08:00+0000,+00:00,2024-07-04 07:58:30+0000,DERIVED,2024-07-04 06:17:00+0000,2024-07-04 06:17:18+0000
4432570111769159184,STAGES,498,0,0,482,16,0,0,+00:00,2024-02-13 22:18:30+0000,+00:00,2024-02-14 06:36:30+0000,DERIVED,2024-02-14 06:08:00+0000,2024-02-14 06:08:54+0000
4475239579720080544,STAGES,486,0,0,473,13,0,0,+00:00,2023-09-09 03:03:00+0000,+00:00,2023-09-09 11:09:00+0000,DERIVED,2023-09-09 11:26:00+0000,2023-09-09 11:26:53+0000
4497801870975528176,STAGES,556,0,0,547,9,0,0,+00:00,2024-02-08 23:24:00+0000,+00:00,2024-02-09 08:40:00+0000,DERIVED,2024-02-09 07:55:00+0000,2024-02-09 07:55:29+0000
4502359415393621992,STAGES,421,0,0,387,34,0,0,+00:00,2024-07-08 01:02:30+0000,+00:00,2024-07-08 08:04:00+0000,DERIVED,2024-07-08 04:29:00+0000,2024-07-08 06:30:26+0000
4578655659119549816,STAGES,473,6,0,456,17,0,0,+00:00,2023-10-19 23:03:00+0000,+00:00,2023-10-20 07:02:30+0000,DERIVED,2023-10-20 05:03:00+0000,2023-10-20 05:03:49+0000
4582819383143996768,STAGES,518,0,0,503,15,0,0,+00:00,2023-12-27 22:47:30+0000,+00:00,2023-12-28 07:25:30+0000,DERIVED,2023-12-29 02:16:00+0000,2023-12-29 02:16:45+0000
4589591477776990232,CLASSIC,86,0,0,84,2,0,0,+00:00,2024-05-26 19:18:00+0000,+00:00,2024-05-26 20:44:30+0000,DERIVED,2024-05-26 20:03:00+0000,2024-05-26 20:03:27+0000
4608394783424788656,STAGES,480,0,0,463,17,0,0,+00:00,2024-08-13 00:40:00+0000,+00:00,2024-08-13 08:40:30+0000,DERIVED,2024-08-13 07:05:00+0000,2024-08-13 07:05:18+0000
4632635883218926264,STAGES,522,0,0,503,19,0,0,+00:00,2023-12-22 23:15:30+0000,+00:00,2023-12-23 07:58:00+0000,DERIVED,2023-12-23 15:45:00+0000,2023-12-23 15:45:32+0000
464611058620216104,STAGES,385,0,0,347,38,0,0,+00:00,2024-01-14 02:31:00+0000,+00:00,2024-01-14 08:56:30+0000,DERIVED,2024-01-14 07:57:00+0000,2024-01-14 07:57:51+0000
4790003145134839200,STAGES,464,0,0,447,17,0,0,+00:00,2024-04-08 23:24:30+0000,+00:00,2024-04-09 07:08:30+0000,DERIVED,2024-04-09 11:25:00+0000,2024-04-09 11:25:14+0000
4835330695377932568,STAGES,229,4,0,206,23,0,0,+00:00,2024-06-01 17:07:00+0000,+00:00,2024-06-01 21:00:00+0000,DERIVED,2024-06-01 19:22:00+0000,2024-06-01 19:22:52+0000
4858154448412881992,STAGES,382,1,0,373,9,0,0,+00:00,2023-09-15 21:24:00+0000,+00:00,2023-09-16 03:47:30+0000,DERIVED,2023-09-16 01:48:00+0000,2023-09-16 01:48:56+0000
4859321406976498848,STAGES,434,6,0,423,11,0,0,+00:00,2024-06-09 01:02:00+0000,+00:00,2024-06-09 08:22:30+0000,DERIVED,2024-06-09 06:58:00+0000,2024-06-09 06:58:27+0000
4879787491395795240,STAGES,515,0,0,496,19,0,0,+00:00,2024-05-23 02:01:00+0000,+00:00,2024-05-23 10:36:30+0000,DERIVED,2024-05-23 08:58:00+0000,2024-05-23 08:59:01+0000
490275235962118336,CLASSIC,155,0,0,141,14,0,0,+00:00,2024-06-07 17:25:30+0000,+00:00,2024-06-07 20:00:30+0000,DERIVED,2024-06-07 18:17:00+0000,2024-06-07 18:17:51+0000
4923288248639767624,STAGES,430,0,0,421,9,0,0,+00:00,2024-08-07 01:35:30+0000,+00:00,2024-08-07 08:45:30+0000,DERIVED,2024-08-07 07:05:00+0000,2024-08-07 07:06:02+0000
4948390003317733280,STAGES,226,1,0,223,3,0,0,+00:00,2024-08-16 09:45:30+0000,+00:00,2024-08-16 13:33:00+0000,DERIVED,2024-08-16 17:55:00+0000,2024-08-16 17:55:29+0000
4968296651405788240,STAGES,376,0,0,363,13,0,0,+00:00,2024-07-16 02:04:00+0000,+00:00,2024-07-16 08:20:30+0000,DERIVED,2024-07-16 06:48:00+0000,2024-07-16 06:48:16+0000
4980287683434924552,CLASSIC,127,1,0,111,16,0,0,+00:00,2024-06-02 18:02:30+0000,+00:00,2024-06-02 20:10:30+0000,DERIVED,2024-06-02 18:24:00+0000,2024-06-02 18:24:47+0000
5008247700550085848,STAGES,417,0,0,406,11,0,0,+00:00,2024-03-02 01:48:00+0000,+00:00,2024-03-02 08:45:00+0000,DERIVED,2024-03-02 08:48:00+0000,2024-03-02 08:48:38+0000
5022309762591114440,STAGES,394,0,0,384,10,0,0,+00:00,2024-07-13 00:04:00+0000,+00:00,2024-07-13 06:38:00+0000,DERIVED,2024-07-13 06:38:00+0000,2024-07-13 06:38:18+0000
5049918491617298784,STAGES,436,6,0,425,11,0,0,+00:00,2024-06-08 00:45:00+0000,+00:00,2024-06-08 08:07:00+0000,DERIVED,2024-06-08 06:26:00+0000,2024-06-08 06:26:26+0000
5156893814390739880,STAGES,597,0,0,574,23,0,0,+00:00,2024-01-25 22:31:30+0000,+00:00,2024-01-26 08:29:00+0000,DERIVED,2024-01-26 07:41:00+0000,2024-01-26 07:41:46+0000
5157047362687453976,STAGES,514,0,0,497,17,0,0,+00:00,2023-10-05 22:38:00+0000,+00:00,2023-10-06 07:12:00+0000,DERIVED,2023-10-06 06:03:00+0000,2023-10-06 06:03:16+0000
5196415912278976680,STAGES,530,0,0,509,21,0,0,+00:00,2024-02-17 00:28:30+0000,+00:00,2024-02-17 09:18:30+0000,DERIVED,2024-02-17 08:31:00+0000,2024-02-17 08:31:11+0000
5236427156302212824,STAGES,462,2,0,451,11,0,0,+00:00,2024-07-28 00:39:30+0000,+00:00,2024-07-28 08:24:00+0000,DERIVED,2024-07-28 06:56:00+0000,2024-07-28 06:56:11+0000
5243234373556967216,STAGES,505,0,0,467,38,0,0,+00:00,2023-09-18 01:22:00+0000,+00:00,2023-09-18 09:47:30+0000,DERIVED,2023-09-18 07:59:00+0000,2023-09-18 07:59:50+0000
5249410783860164616,STAGES,477,0,0,466,11,0,0,+00:00,2023-12-04 00:44:00+0000,+00:00,2023-12-04 08:41:30+0000,DERIVED,2023-12-04 13:42:00+0000,2023-12-04 13:42:28+0000
5255779224839344192,STAGES,443,0,0,420,23,0,0,+00:00,2024-01-24 02:40:30+0000,+00:00,2024-01-24 10:03:30+0000,DERIVED,2024-01-24 09:34:00+0000,2024-01-24 09:34:29+0000
5298461447322435904,STAGES,433,5,0,425,8,0,0,+00:00,2024-07-03 00:09:00+0000,+00:00,2024-07-03 07:27:30+0000,DERIVED,2024-07-03 06:28:00+0000,2024-07-03 06:28:26+0000
534468498588907400,CLASSIC,127,0,0,117,10,0,0,+00:00,2024-06-18 15:30:30+0000,+00:00,2024-06-18 17:38:00+0000,DERIVED,2024-06-18 15:55:00+0000,2024-06-18 15:55:59+0000
