name,objectives,schedule,status,update_time,meta,title,subtitle,rationale,domain,progress_start_time,progress_end_time,progress
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 26)",2025-11-22 00:00:00 - 2025-11-23 00:00:00,ENABLED,2025-11-22 12:55:29+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 29)",2026-01-15 00:00:00 - 2026-01-16 00:00:00,ENABLED,2026-01-14 23:21:18+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 29)",2026-01-15 00:00:00 - 2026-01-16 00:00:00,ENABLED,2026-01-15 06:58:19+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 30)",2025-08-08 00:00:00 - 2025-08-09 00:00:00,ENABLED,2025-08-08 09:22:05+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 30)",2025-08-20 00:00:00 - 2025-08-21 00:00:00,ENABLED,2025-08-20 20:33:07+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 32)",2025-10-25 00:00:00 - 2025-10-26 00:00:00,ENABLED,2025-10-25 07:27:55+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 33)",2025-08-09 00:00:00 - 2025-08-10 00:00:00,ENABLED,2025-08-09 08:20:59+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 33)",2025-08-11 00:00:00 - 2025-08-12 00:00:00,ENABLED,2025-08-11 06:06:57+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 33)",2025-10-27 00:00:00 - 2025-10-28 00:00:00,ENABLED,2025-10-27 06:17:35+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 33)",2025-10-28 00:00:00 - 2025-10-29 00:00:00,ENABLED,2025-10-28 07:47:56+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 34)",2026-01-13 00:00:00 - 2026-01-14 00:00:00,ENABLED,2026-01-12 23:18:52+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 34)",2026-01-13 00:00:00 - 2026-01-14 00:00:00,ENABLED,2026-01-13 06:47:10+0000,,,,,GOALS,,,
target-cardio-load,"MEASURE: CARDIO_LOAD, TARGET: BETWEEN(1, 36)",2025-10-06 00:00:00 - 2025-10-07 00:00:00,ENABLED,2025-10-06 05:05:49+0000,,,,,GOALS,,,
