timestamp,lap time,stroke count,stroke type,data source
2025-08-05T11:22:44Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-05T11:22:59Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-05T11:50:50Z,00:00:37.000,15,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-05T11:51:43Z,00:00:22.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-05T11:55:24Z,00:00:12.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-05T11:58:26Z,00:00:21.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-05T17:51:28Z,00:00:09.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-05T18:07:48Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-06T08:04:07Z,00:00:09.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-06T08:04:19Z,00:00:57.000,27,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-06T08:05:22Z,00:00:40.000,23,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-06T08:06:05Z,00:00:08.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-06T08:06:23Z,00:00:55.000,27,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-06T08:07:30Z,00:00:09.000,6,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-06T08:07:46Z,00:00:35.000,15,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-06T08:08:27Z,00:00:07.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-06T08:08:43Z,00:00:52.000,23,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-06T08:09:39Z,00:00:13.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-06T08:09:58Z,00:00:20.000,12,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-06T08:10:42Z,00:00:56.000,26,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-06T08:11:41Z,00:00:55.000,27,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-06T08:12:44Z,00:00:55.000,27,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-06T08:13:41Z,00:00:56.000,26,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-06T08:14:39Z,00:00:25.000,13,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-06T08:15:09Z,00:00:23.000,12,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-06T08:15:38Z,00:00:19.000,11,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-06T08:16:08Z,00:00:55.000,27,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-06T08:17:05Z,00:00:50.000,20,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-06T08:17:57Z,00:00:28.000,15,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-06T08:18:48Z,00:00:19.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-06T11:29:52Z,00:00:16.000,11,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-06T11:31:33Z,00:00:35.000,27,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-06T11:34:27Z,00:00:07.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-06T11:40:53Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-06T11:59:19Z,00:00:08.000,7,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-06T12:02:04Z,00:00:11.000,10,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-06T12:04:39Z,00:00:16.000,13,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-06T12:07:25Z,00:00:16.000,9,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
2025-08-06T15:52:21Z,00:00:25.000,8,SWIM_STROKE_TYPE_UNSPECIFIED,Charge 6
