timestamp,steps,distance millimeters,altitude gain millimeters,data source
2025-01-07T09:31:30Z,2,1390,0,Charge 6
2025-01-07T09:31:31Z,2,1420,0,Charge 6
2025-01-07T09:31:32Z,1,1420,0,Charge 6
2025-01-07T09:31:33Z,2,1410,0,Charge 6
2025-01-07T09:31:34Z,2,1390,0,Charge 6
2025-01-07T09:31:35Z,2,1390,0,Charge 6
2025-01-07T09:31:36Z,2,1390,0,Charge 6
2025-01-07T09:31:37Z,2,1430,0,Charge 6
2025-01-07T09:31:38Z,1,1420,0,Charge 6
2025-01-07T09:31:39Z,2,1420,0,Charge 6
2025-01-07T09:31:40Z,2,1420,0,Charge 6
2025-01-07T09:31:41Z,2,1420,0,Charge 6
2025-01-07T09:31:42Z,2,1430,0,Charge 6
2025-01-07T09:31:43Z,2,1440,0,Charge 6
2025-01-07T09:31:44Z,1,1450,0,Charge 6
2025-01-07T09:31:45Z,2,1440,0,Charge 6
2025-01-07T09:31:46Z,2,1450,0,Charge 6
2025-01-07T09:31:47Z,2,1430,0,Charge 6
2025-01-07T09:31:48Z,2,1440,0,Charge 6
2025-01-07T09:31:49Z,2,1460,0,Charge 6
2025-01-07T09:31:50Z,1,1460,0,Charge 6
2025-01-07T09:31:51Z,1,1460,0,Charge 6
2025-01-07T09:31:52Z,2,1440,0,Charge 6
2025-01-07T09:31:53Z,1,1350,0,Charge 6
2025-01-07T09:31:54Z,2,1290,0,Charge 6
2025-01-07T09:31:55Z,2,1280,0,Charge 6
2025-01-07T09:31:56Z,1,1280,0,Charge 6
2025-01-07T09:31:57Z,2,1280,0,Charge 6
2025-01-07T09:31:58Z,2,1280,0,Charge 6
2025-01-07T09:31:59Z,2,1280,0,Charge 6
2025-01-07T09:32:00Z,1,1280,0,Charge 6
2025-01-07T09:32:01Z,2,1280,0,Charge 6
2025-01-07T09:32:02Z,1,1290,0,Charge 6
2025-01-07T09:32:03Z,1,1220,0,Charge 6
2025-01-07T09:32:04Z,4,1240,0,Charge 6
2025-01-07T09:32:05Z,2,1300,0,Charge 6
2025-01-07T09:32:06Z,2,1360,0,Charge 6
2025-01-07T09:32:07Z,2,1450,0,Charge 6
2025-01-07T09:32:08Z,0,1440,0,Charge 6
2025-01-07T09:32:09Z,1,1350,0,Charge 6
2025-01-07T09:32:10Z,1,1350,0,Charge 6
2025-01-07T09:32:11Z,0,1210,0,Charge 6
2025-01-07T09:32:12Z,0,1010,0,Charge 6
2025-01-07T09:32:13Z,0,0,0,Charge 6
2025-01-07T09:32:14Z,0,0,0,Charge 6
2025-01-07T09:32:15Z,0,0,0,Charge 6
2025-01-07T09:32:16Z,0,0,0,Charge 6
2025-01-07T09:32:17Z,0,0,0,Charge 6
2025-01-07T09:32:18Z,1,0,0,Charge 6
2025-01-07T09:32:19Z,2,0,0,Charge 6
2025-01-07T09:32:20Z,2,150,0,Charge 6
2025-01-07T09:32:21Z,1,290,0,Charge 6
2025-01-07T09:32:22Z,1,430,0,Charge 6
2025-01-07T09:32:23Z,2,610,0,Charge 6
2025-01-07T09:32:24Z,2,810,0,Charge 6
2025-01-07T09:32:25Z,1,870,0,Charge 6
2025-01-07T09:32:26Z,2,940,0,Charge 6
2025-01-07T09:32:27Z,2,1020,0,Charge 6
2025-01-07T09:32:28Z,2,1090,0,Charge 6
2025-01-07T09:32:29Z,2,1140,0,Charge 6
2025-01-07T09:32:30Z,2,1300,0,Charge 6
2025-01-07T09:32:31Z,2,1350,0,Charge 6
2025-01-07T09:32:32Z,2,1400,0,Charge 6
2025-01-07T09:32:33Z,2,1430,0,Charge 6
2025-01-07T09:32:34Z,2,1450,0,Charge 6
2025-01-07T09:32:35Z,1,1460,0,Charge 6
2025-01-07T09:32:36Z,2,1450,0,Charge 6
2025-01-07T09:32:37Z,2,1450,0,Charge 6
2025-01-07T09:32:38Z,1,1450,0,Charge 6
2025-01-07T09:32:39Z,2,1430,0,Charge 6
2025-01-07T09:32:40Z,2,1440,0,Charge 6
2025-01-07T09:32:41Z,2,1440,0,Charge 6
2025-01-07T09:32:42Z,1,1430,0,Charge 6
2025-01-07T09:32:43Z,2,1430,0,Charge 6
2025-01-07T09:32:44Z,2,1430,0,Charge 6
2025-01-07T09:32:45Z,2,1430,0,Charge 6
2025-01-07T09:32:46Z,2,1430,0,Charge 6
2025-01-07T09:32:47Z,1,1430,0,Charge 6
2025-01-07T09:32:48Z,2,1420,0,Charge 6
2025-01-07T09:32:49Z,2,1420,0,Charge 6
2025-01-07T09:32:50Z,2,1420,0,Charge 6
2025-01-07T09:32:51Z,1,1420,0,Charge 6
2025-01-07T09:32:52Z,2,1410,0,Charge 6
2025-01-07T09:32:53Z,2,1420,0,Charge 6
2025-01-07T09:32:54Z,2,1410,0,Charge 6
2025-01-07T09:32:55Z,2,1410,0,Charge 6
2025-01-07T09:32:56Z,1,1420,0,Charge 6
2025-01-07T09:32:57Z,2,1410,0,Charge 6
2025-01-07T09:32:58Z,2,1420,0,Charge 6
2025-01-07T09:32:59Z,2,1410,0,Charge 6
2025-01-07T09:33:00Z,1,1410,0,Charge 6
2025-01-07T09:33:01Z,2,1400,0,Charge 6
2025-01-07T09:33:02Z,2,1410,0,Charge 6
2025-01-07T09:33:03Z,2,1410,0,Charge 6
2025-01-07T09:33:04Z,2,1400,0,Charge 6
2025-01-07T09:33:05Z,2,1410,0,Charge 6
2025-01-07T09:33:06Z,1,1400,0,Charge 6
2025-01-07T09:33:07Z,2,1410,0,Charge 6
2025-01-07T09:33:08Z,2,1410,0,Charge 6
2025-01-07T09:33:09Z,2,1400,0,Charge 6
2025-01-07T09:33:10Z,2,1410,0,Charge 6
2025-01-07T09:33:11Z,1,1410,0,Charge 6
2025-01-07T09:33:12Z,1,1390,0,Charge 6
2025-01-07T09:33:13Z,1,1320,0,Charge 6
2025-01-07T09:33:14Z,3,1310,0,Charge 6
2025-01-07T09:33:15Z,1,1250,0,Charge 6
2025-01-07T09:33:16Z,2,1250,0,Charge 6
2025-01-07T09:33:17Z,2,1260,0,Charge 6
2025-01-07T09:33:18Z,2,1320,0,Charge 6
2025-01-07T09:33:19Z,2,1330,0,Charge 6
2025-01-07T09:33:20Z,2,1380,0,Charge 6
2025-01-07T09:33:21Z,2,1380,0,Charge 6
2025-01-07T09:33:22Z,2,1380,0,Charge 6
2025-01-07T09:33:23Z,1,1390,0,Charge 6
2025-01-07T09:33:24Z,2,1380,0,Charge 6
2025-01-07T09:33:25Z,2,1380,0,Charge 6
2025-01-07T09:33:26Z,1,1380,0,Charge 6
2025-01-07T09:33:27Z,2,1380,0,Charge 6
2025-01-07T09:33:28Z,2,1370,0,Charge 6
2025-01-07T09:33:29Z,2,1380,0,Charge 6
2025-01-07T09:33:30Z,2,1370,0,Charge 6
2025-01-07T09:33:31Z,2,1390,0,Charge 6
2025-01-07T09:33:32Z,2,1380,0,Charge 6
2025-01-07T09:33:33Z,1,1380,0,Charge 6
2025-01-07T09:33:34Z,2,1390,0,Charge 6
2025-01-07T09:33:35Z,2,1380,0,Charge 6
2025-01-07T09:33:36Z,2,1380,0,Charge 6
2025-01-07T09:33:37Z,1,1380,0,Charge 6
2025-01-07T09:33:38Z,2,1390,0,Charge 6
2025-01-07T09:33:39Z,2,1380,0,Charge 6
2025-01-07T09:33:40Z,2,1380,0,Charge 6
2025-01-07T09:33:41Z,2,1390,0,Charge 6
2025-01-07T09:33:42Z,2,1380,0,Charge 6
2025-01-07T09:33:43Z,1,1380,0,Charge 6
2025-01-07T09:33:44Z,2,1380,0,Charge 6
2025-01-07T09:33:45Z,2,1390,0,Charge 6
2025-01-07T09:33:46Z,2,1380,0,Charge 6
2025-01-07T09:33:47Z,2,1380,0,Charge 6
2025-01-07T09:33:48Z,1,1390,0,Charge 6
2025-01-07T09:33:49Z,2,1380,0,Charge 6
2025-01-07T09:33:50Z,2,1380,0,Charge 6
2025-01-07T09:33:51Z,2,1380,0,Charge 6
2025-01-07T09:33:52Z,2,1380,0,Charge 6
2025-01-07T09:33:53Z,2,1390,0,Charge 6
2025-01-07T09:33:54Z,1,1380,0,Charge 6
2025-01-07T09:33:55Z,2,1380,0,Charge 6
2025-01-07T09:33:56Z,2,1380,0,Charge 6
2025-01-07T09:33:57Z,2,1390,0,Charge 6
2025-01-07T09:33:58Z,1,1370,0,Charge 6
2025-01-07T09:33:59Z,1,1380,0,Charge 6
2025-01-07T09:34:00Z,0,1260,0,Charge 6
2025-01-07T09:34:01Z,0,1100,0,Charge 6
2025-01-07T09:34:02Z,0,0,0,Charge 6
2025-01-07T09:34:03Z,0,0,0,Charge 6
2025-01-07T09:34:04Z,0,0,0,Charge 6
