timestamp,heart rate zone,total minutes,data source
2021-06-21T11:47:00Z,FAT_BURN,1,Charge 4
2021-06-21T11:48:00Z,FAT_BURN,1,Charge 4
2021-06-21T11:49:00Z,FAT_BURN,1,Charge 4
2021-06-21T11:50:00Z,FAT_BURN,1,Charge 4
2021-06-21T11:51:00Z,FAT_BURN,1,Charge 4
2021-06-21T11:52:00Z,FAT_BURN,1,Charge 4
2021-06-21T11:53:00Z,FAT_BURN,1,Charge 4
2021-06-21T11:54:00Z,FAT_BURN,1,Charge 4
2021-06-21T11:55:00Z,FAT_BURN,1,Charge 4
2021-06-21T11:59:00Z,FAT_BURN,1,Charge 4
2021-06-21T12:17:00Z,FAT_BURN,1,Charge 4
2021-06-21T12:18:00Z,FAT_BURN,1,Charge 4
2021-06-21T12:19:00Z,CARDIO,2,Charge 4
2021-06-21T12:20:00Z,FAT_BURN,1,Charge 4
2021-06-21T12:21:00Z,FAT_BURN,1,Charge 4
2021-06-21T12:22:00Z,FAT_BURN,1,Charge 4
2021-06-21T12:23:00Z,FAT_BURN,1,Charge 4
2021-06-22T15:27:00Z,FAT_BURN,1,Charge 4
2021-06-22T15:28:00Z,FAT_BURN,1,Charge 4
2021-06-22T15:29:00Z,FAT_BURN,1,Charge 4
2021-06-22T16:05:00Z,FAT_BURN,1,Charge 4
2021-06-22T16:06:00Z,FAT_BURN,1,Charge 4
2021-06-22T16:07:00Z,FAT_BURN,1,Charge 4
2021-06-22T16:08:00Z,FAT_BURN,1,Charge 4
2021-06-22T16:09:00Z,FAT_BURN,1,Charge 4
2021-06-22T16:10:00Z,FAT_BURN,1,Charge 4
2021-06-22T16:11:00Z,FAT_BURN,1,Charge 4
2021-06-22T16:12:00Z,FAT_BURN,1,Charge 4
2021-06-22T16:13:00Z,FAT_BURN,1,Charge 4
2021-06-22T16:14:00Z,FAT_BURN,1,Charge 4
2021-06-22T16:15:00Z,FAT_BURN,1,Charge 4
2021-06-22T16:16:00Z,FAT_BURN,1,Charge 4
2021-06-22T16:17:00Z,FAT_BURN,1,Charge 4
2021-06-22T16:18:00Z,FAT_BURN,1,Charge 4
2021-06-22T16:19:00Z,FAT_BURN,1,Charge 4
2021-06-22T16:20:00Z,FAT_BURN,1,Charge 4
2021-06-22T16:21:00Z,FAT_BURN,1,Charge 4
2021-06-22T16:22:00Z,FAT_BURN,1,Charge 4
2021-06-22T16:23:00Z,FAT_BURN,1,Charge 4
2021-06-22T16:24:00Z,FAT_BURN,1,Charge 4
2021-06-22T16:25:00Z,FAT_BURN,1,Charge 4
2021-06-22T16:26:00Z,FAT_BURN,1,Charge 4
2021-06-22T16:27:00Z,FAT_BURN,1,Charge 4
2021-06-22T16:28:00Z,FAT_BURN,1,Charge 4
2021-06-22T16:29:00Z,FAT_BURN,1,Charge 4
2021-06-22T16:30:00Z,FAT_BURN,1,Charge 4
2021-06-22T16:31:00Z,FAT_BURN,1,Charge 4
2021-06-22T16:32:00Z,FAT_BURN,1,Charge 4
2021-06-23T09:23:00Z,FAT_BURN,1,Charge 4
2021-06-23T09:29:00Z,FAT_BURN,1,Charge 4
2021-06-23T09:30:00Z,FAT_BURN,1,Charge 4
2021-06-23T09:31:00Z,FAT_BURN,1,Charge 4
2021-06-23T09:32:00Z,FAT_BURN,1,Charge 4
2021-06-23T09:33:00Z,FAT_BURN,1,Charge 4
2021-06-23T09:34:00Z,FAT_BURN,1,Charge 4
2021-06-23T09:35:00Z,FAT_BURN,1,Charge 4
2021-06-23T09:36:00Z,FAT_BURN,1,Charge 4
2021-06-23T09:37:00Z,FAT_BURN,1,Charge 4
2021-06-23T09:39:00Z,FAT_BURN,1,Charge 4
2021-06-23T09:40:00Z,FAT_BURN,1,Charge 4
2021-06-23T09:42:00Z,FAT_BURN,1,Charge 4
2021-06-23T09:50:00Z,FAT_BURN,1,Charge 4
2021-06-23T09:51:00Z,FAT_BURN,1,Charge 4
2021-06-23T09:52:00Z,FAT_BURN,1,Charge 4
2021-06-23T09:53:00Z,FAT_BURN,1,Charge 4
2021-06-23T09:54:00Z,FAT_BURN,1,Charge 4
2021-06-23T10:12:00Z,FAT_BURN,1,Charge 4
2021-06-23T10:29:00Z,FAT_BURN,1,Charge 4
2021-06-23T10:30:00Z,CARDIO,2,Charge 4
2021-06-23T10:31:00Z,FAT_BURN,1,Charge 4
2021-06-23T10:32:00Z,FAT_BURN,1,Charge 4
2021-06-23T10:33:00Z,FAT_BURN,1,Charge 4
2021-06-23T10:37:00Z,FAT_BURN,1,Charge 4
2021-06-23T10:38:00Z,FAT_BURN,1,Charge 4
2021-06-23T10:39:00Z,FAT_BURN,1,Charge 4
2021-06-23T10:41:00Z,FAT_BURN,1,Charge 4
2021-06-23T10:47:00Z,FAT_BURN,1,Charge 4
2021-06-23T15:05:00Z,FAT_BURN,1,Charge 4
2021-06-23T21:59:00Z,FAT_BURN,1,Charge 4
2021-06-23T22:00:00Z,FAT_BURN,1,Charge 4
2021-06-23T22:01:00Z,FAT_BURN,1,Charge 4
2021-06-24T15:38:00Z,FAT_BURN,1,Charge 4
2021-06-24T15:39:00Z,FAT_BURN,1,Charge 4
2021-06-24T15:40:00Z,FAT_BURN,1,Charge 4
