timestamp,gain,data source
2023-01-30T08:17:00Z,3048,Charge 4
2023-01-30T08:18:00Z,3048,Charge 4
2023-01-30T08:25:00Z,3048,Charge 4
2023-01-30T11:24:00Z,3048,Charge 4
2023-01-30T11:26:00Z,3048,Charge 4
2023-01-30T12:42:00Z,3048,Charge 4
2023-01-30T13:33:00Z,3048,Charge 4
2023-01-30T13:40:00Z,3048,Charge 4
2023-01-30T14:15:00Z,3048,Charge 4
2023-01-30T14:16:00Z,3048,Charge 4
2023-01-30T14:24:00Z,3048,Charge 4
2023-01-30T15:20:00Z,3048,Charge 4
2023-01-30T15:25:00Z,3048,Charge 4
2023-01-30T16:11:00Z,3048,Charge 4
2023-01-30T16:14:00Z,3048,Charge 4
2023-01-30T17:46:00Z,3048,Charge 4
2023-01-30T21:43:00Z,3048,Charge 4
2023-01-31T08:06:00Z,3048,Charge 4
2023-01-31T08:31:00Z,3048,Charge 4
2023-01-31T08:37:00Z,3048,Charge 4
2023-01-31T09:20:00Z,3048,Charge 4
2023-01-31T09:22:00Z,6096,Charge 4
2023-01-31T09:23:00Z,3048,Charge 4
2023-01-31T09:25:00Z,3048,Charge 4
2023-01-31T09:26:00Z,3048,Charge 4
2023-01-31T09:28:00Z,3048,Charge 4
2023-01-31T09:30:00Z,3048,Charge 4
2023-01-31T09:38:00Z,9144,Charge 4
2023-01-31T09:39:00Z,9144,Charge 4
2023-01-31T09:47:00Z,3048,Charge 4
2023-01-31T11:45:00Z,12192,Charge 4
2023-01-31T11:46:00Z,9144,Charge 4
2023-01-31T11:47:00Z,6096,Charge 4
2023-01-31T11:48:00Z,3048,Charge 4
2023-01-31T16:28:00Z,3048,Charge 4
2023-01-31T16:34:00Z,3048,Charge 4
2023-01-31T16:35:00Z,3048,Charge 4
2023-01-31T16:36:00Z,6096,Charge 4
2023-01-31T16:37:00Z,3048,Charge 4
2023-01-31T16:44:00Z,3048,Charge 4
2023-01-31T16:45:00Z,3048,Charge 4
2023-01-31T16:51:00Z,3048,Charge 4
2023-01-31T16:52:00Z,6096,Charge 4
2023-01-31T16:53:00Z,3048,Charge 4
2023-01-31T17:31:00Z,3048,Charge 4
2023-01-31T17:33:00Z,3048,Charge 4
2023-01-31T17:52:00Z,3048,Charge 4
2023-01-31T18:14:00Z,6096,Charge 4
2023-01-31T19:11:00Z,3048,Charge 4
2023-01-31T19:19:00Z,3048,Charge 4
2023-01-31T19:22:00Z,3048,Charge 4
