timestamp,distance,data source
2023-06-04T11:20:00Z,29.20,Charge 5
2023-06-04T11:21:00Z,24.50,Charge 5
2023-06-04T11:22:00Z,38.40,Charge 5
2023-06-04T11:23:00Z,9.20,Charge 5
2023-06-04T11:28:00Z,7.60,Charge 5
2023-06-04T11:37:00Z,13.00,Charge 5
2023-06-04T11:39:00Z,28.40,Charge 5
2023-06-04T11:54:00Z,19.90,Charge 5
2023-06-04T11:58:00Z,6.90,Charge 5
2023-06-04T12:02:00Z,10.70,Charge 5
2023-06-04T12:03:00Z,13.80,Charge 5
2023-06-04T12:12:00Z,9.20,Charge 5
2023-06-04T12:13:00Z,7.60,Charge 5
2023-06-04T12:17:00Z,8.40,Charge 5
2023-06-04T12:18:00Z,6.90,Charge 5
2023-06-04T12:23:00Z,9.90,Charge 5
2023-06-04T12:27:00Z,5.30,Charge 5
2023-06-04T12:28:00Z,11.50,Charge 5
2023-06-04T12:29:00Z,10.00,Charge 5
2023-06-04T12:48:00Z,14.60,Charge 5
2023-06-04T12:49:00Z,13.00,Charge 5
2023-06-04T12:50:00Z,14.50,Charge 5
2023-06-04T12:51:00Z,32.20,Charge 5
2023-06-04T12:52:00Z,0.70,Charge 5
2023-06-04T13:00:00Z,42.20,Charge 5
2023-06-04T13:01:00Z,33.80,Charge 5
2023-06-04T13:02:00Z,25.30,Charge 5
2023-06-04T13:03:00Z,39.10,Charge 5
2023-06-04T13:04:00Z,5.30,Charge 5
2023-06-04T13:06:00Z,5.30,Charge 5
2023-06-04T13:11:00Z,56.30,Charge 5
2023-06-04T13:12:00Z,21.50,Charge 5
2023-06-04T13:13:00Z,26.90,Charge 5
2023-06-04T13:14:00Z,30.00,Charge 5
2023-06-04T13:16:00Z,7.60,Charge 5
2023-06-04T13:17:00Z,6.10,Charge 5
2023-06-04T14:14:00Z,8.40,Charge 5
2023-06-04T14:16:00Z,26.10,Charge 5
2023-06-04T14:17:00Z,12.30,Charge 5
2023-06-04T14:20:00Z,6.10,Charge 5
2023-06-04T14:33:00Z,8.40,Charge 5
2023-06-04T14:34:00Z,4.60,Charge 5
2023-06-04T14:45:00Z,26.10,Charge 5
2023-06-04T14:46:00Z,20.70,Charge 5
2023-06-04T14:52:00Z,6.90,Charge 5
2023-06-04T14:54:00Z,10.70,Charge 5
2023-06-04T15:04:00Z,13.00,Charge 5
2023-06-04T15:05:00Z,32.20,Charge 5
2023-06-04T15:15:00Z,36.10,Charge 5
2023-06-04T15:16:00Z,3.80,Charge 5
2023-06-04T15:41:00Z,6.10,Charge 5
2023-06-04T15:46:00Z,5.30,Charge 5
2023-06-04T15:51:00Z,14.60,Charge 5
2023-06-04T15:52:00Z,0.70,Charge 5
2023-06-04T15:53:00Z,4.60,Charge 5
2023-06-04T16:22:00Z,5.30,Charge 5
2023-06-04T16:26:00Z,14.50,Charge 5
2023-06-04T16:27:00Z,3.80,Charge 5
2023-06-04T16:31:00Z,16.10,Charge 5
2023-06-04T16:32:00Z,16.10,Charge 5
2023-06-04T16:33:00Z,6.10,Charge 5
2023-06-04T16:34:00Z,4.60,Charge 5
2023-06-04T16:35:00Z,12.20,Charge 5
2023-06-04T16:36:00Z,15.30,Charge 5
2023-06-04T16:37:00Z,22.20,Charge 5
2023-06-04T16:39:00Z,13.00,Charge 5
2023-06-04T16:40:00Z,18.40,Charge 5
2023-06-04T16:42:00Z,10.70,Charge 5
2023-06-04T16:43:00Z,36.80,Charge 5
2023-06-04T16:44:00Z,6.10,Charge 5
2023-06-04T16:45:00Z,5.30,Charge 5
2023-06-04T16:48:00Z,5.30,Charge 5
2023-06-04T16:51:00Z,14.60,Charge 5
2023-06-04T16:52:00Z,5.30,Charge 5
2023-06-04T17:11:00Z,9.20,Charge 5
2023-06-04T17:27:00Z,13.80,Charge 5
2023-06-04T17:28:00Z,3.80,Charge 5
2023-06-04T17:29:00Z,26.10,Charge 5
2023-06-04T17:30:00Z,5.30,Charge 5
2023-06-04T17:39:00Z,14.60,Charge 5
2023-06-04T17:40:00Z,6.10,Charge 5
2023-06-04T18:16:00Z,4.60,Charge 5
2023-06-04T18:21:00Z,6.10,Charge 5
2023-06-04T18:34:00Z,5.30,Charge 5
2023-06-04T18:35:00Z,5.30,Charge 5
2023-06-04T18:45:00Z,9.20,Charge 5
2023-06-04T19:16:00Z,5.30,Charge 5
2023-06-04T19:20:00Z,16.10,Charge 5
2023-06-04T19:21:00Z,6.10,Charge 5
2023-06-04T19:23:00Z,4.60,Charge 5
2023-06-04T19:29:00Z,7.60,Charge 5
2023-06-04T19:30:00Z,5.30,Charge 5
2023-06-04T19:50:00Z,5.30,Charge 5
2023-06-04T19:51:00Z,9.90,Charge 5
2023-06-04T19:55:00Z,13.00,Charge 5
2023-06-04T21:19:00Z,6.10,Charge 5
2023-06-04T21:21:00Z,7.60,Charge 5
2023-06-05T00:03:00Z,3.00,Charge 5
2023-06-05T02:21:00Z,5.30,Charge 5
2023-06-05T04:26:00Z,5.30,Charge 5
2023-06-05T07:15:00Z,9.90,Charge 5
2023-06-05T07:21:00Z,16.80,Charge 5
2023-06-05T07:22:00Z,22.20,Charge 5
2023-06-05T07:24:00Z,8.40,Charge 5
2023-06-05T07:26:00Z,11.50,Charge 5
2023-06-05T07:27:00Z,5.30,Charge 5
2023-06-05T07:28:00Z,12.30,Charge 5
2023-06-05T07:29:00Z,5.30,Charge 5
2023-06-05T07:32:00Z,10.70,Charge 5
2023-06-05T07:36:00Z,12.20,Charge 5
2023-06-05T07:37:00Z,18.40,Charge 5
2023-06-05T07:38:00Z,6.10,Charge 5
2023-06-05T07:39:00Z,4.60,Charge 5
2023-06-05T07:40:00Z,29.10,Charge 5
2023-06-05T07:43:00Z,6.90,Charge 5
2023-06-05T07:44:00Z,9.20,Charge 5
2023-06-05T07:45:00Z,24.50,Charge 5
2023-06-05T07:46:00Z,1.50,Charge 5
2023-06-05T07:47:00Z,9.20,Charge 5
2023-06-05T07:56:00Z,6.90,Charge 5
2023-06-05T07:59:00Z,5.30,Charge 5
2023-06-05T08:00:00Z,5.30,Charge 5
2023-06-05T08:01:00Z,16.90,Charge 5
2023-06-05T08:02:00Z,26.10,Charge 5
2023-06-05T08:07:00Z,6.10,Charge 5
2023-06-05T08:08:00Z,10.70,Charge 5
2023-06-05T08:09:00Z,19.20,Charge 5
2023-06-05T08:13:00Z,9.20,Charge 5
2023-06-05T08:19:00Z,13.80,Charge 5
2023-06-05T08:20:00Z,43.80,Charge 5
2023-06-05T08:21:00Z,56.80,Charge 5
2023-06-05T08:22:00Z,55.30,Charge 5
2023-06-05T08:23:00Z,11.50,Charge 5
2023-06-05T08:24:00Z,11.50,Charge 5
2023-06-05T08:30:00Z,12.30,Charge 5
2023-06-05T08:31:00Z,1.50,Charge 5
2023-06-05T08:33:00Z,5.30,Charge 5
2023-06-05T08:34:00Z,6.10,Charge 5
2023-06-05T08:39:00Z,3.80,Charge 5
2023-06-05T08:53:00Z,9.90,Charge 5
2023-06-05T08:55:00Z,14.50,Charge 5
2023-06-05T08:57:00Z,6.10,Charge 5
2023-06-05T08:58:00Z,0.70,Charge 5
2023-06-05T08:59:00Z,11.50,Charge 5
2023-06-05T09:02:00Z,6.10,Charge 5
2023-06-05T09:04:00Z,4.60,Charge 5
2023-06-05T09:27:00Z,13.80,Charge 5
2023-06-05T09:28:00Z,4.60,Charge 5
2023-06-05T09:29:00Z,43.00,Charge 5
2023-06-05T09:30:00Z,12.20,Charge 5
2023-06-05T09:31:00Z,11.50,Charge 5
2023-06-05T09:53:00Z,29.10,Charge 5
2023-06-05T09:54:00Z,0.70,Charge 5
2023-06-05T10:32:00Z,10.70,Charge 5
2023-06-05T10:33:00Z,10.70,Charge 5
2023-06-05T10:38:00Z,5.30,Charge 5
2023-06-05T10:40:00Z,12.20,Charge 5
2023-06-05T10:46:00Z,16.80,Charge 5
2023-06-05T10:47:00Z,17.60,Charge 5
2023-06-05T10:48:00Z,21.50,Charge 5
2023-06-05T10:49:00Z,9.90,Charge 5
2023-06-05T11:01:00Z,7.60,Charge 5
2023-06-05T12:09:00Z,10.70,Charge 5
2023-06-05T12:10:00Z,6.90,Charge 5
2023-06-05T12:12:00Z,14.60,Charge 5
2023-06-05T12:23:00Z,9.20,Charge 5
2023-06-05T12:34:00Z,7.60,Charge 5
2023-06-05T12:35:00Z,39.90,Charge 5
2023-06-05T12:36:00Z,18.40,Charge 5
2023-06-05T12:40:00Z,14.60,Charge 5
2023-06-05T12:42:00Z,19.90,Charge 5
2023-06-05T12:56:00Z,16.10,Charge 5
2023-06-05T12:57:00Z,23.80,Charge 5
2023-06-05T12:58:00Z,24.50,Charge 5
2023-06-05T12:59:00Z,32.20,Charge 5
2023-06-05T13:00:00Z,9.90,Charge 5
2023-06-05T13:01:00Z,10.70,Charge 5
2023-06-05T13:02:00Z,58.40,Charge 5
2023-06-05T13:03:00Z,43.80,Charge 5
2023-06-05T13:04:00Z,26.80,Charge 5
2023-06-05T13:05:00Z,62.20,Charge 5
2023-06-05T13:06:00Z,72.20,Charge 5
2023-06-05T13:07:00Z,81.50,Charge 5
2023-06-05T13:08:00Z,79.90,Charge 5
2023-06-05T13:09:00Z,83.00,Charge 5
2023-06-05T13:10:00Z,84.60,Charge 5
2023-06-05T13:11:00Z,79.90,Charge 5
2023-06-05T13:12:00Z,82.20,Charge 5
2023-06-05T13:13:00Z,82.20,Charge 5
2023-06-05T13:14:00Z,79.10,Charge 5
2023-06-05T13:15:00Z,81.50,Charge 5
2023-06-05T13:16:00Z,81.50,Charge 5
2023-06-05T13:17:00Z,82.20,Charge 5
2023-06-05T13:18:00Z,86.10,Charge 5
2023-06-05T13:19:00Z,83.00,Charge 5
2023-06-05T13:20:00Z,84.60,Charge 5
2023-06-05T13:21:00Z,80.70,Charge 5
2023-06-05T13:22:00Z,81.50,Charge 5
2023-06-05T13:23:00Z,83.00,Charge 5
2023-06-05T13:24:00Z,81.50,Charge 5
2023-06-05T13:25:00Z,83.00,Charge 5
2023-06-05T13:26:00Z,80.70,Charge 5
2023-06-05T13:27:00Z,68.40,Charge 5
2023-06-05T13:28:00Z,80.00,Charge 5
2023-06-05T13:29:00Z,87.60,Charge 5
2023-06-05T13:30:00Z,70.60,Charge 5
2023-06-05T13:31:00Z,4.60,Charge 5
2023-06-05T13:32:00Z,7.60,Charge 5
2023-06-05T13:33:00Z,24.50,Charge 5
2023-06-05T13:34:00Z,9.20,Charge 5
2023-06-05T13:36:00Z,34.50,Charge 5
2023-06-05T13:37:00Z,53.70,Charge 5
2023-06-05T13:38:00Z,20.70,Charge 5
2023-06-05T13:39:00Z,13.00,Charge 5
2023-06-05T13:40:00Z,29.90,Charge 5
2023-06-05T13:41:00Z,6.10,Charge 5
2023-06-05T13:42:00Z,20.70,Charge 5
2023-06-05T13:43:00Z,72.20,Charge 5
2023-06-05T13:44:00Z,60.70,Charge 5
2023-06-05T13:45:00Z,64.50,Charge 5
2023-06-05T13:46:00Z,9.20,Charge 5
2023-06-05T13:47:00Z,20.70,Charge 5
2023-06-05T13:49:00Z,69.90,Charge 5
2023-06-05T13:50:00Z,65.30,Charge 5
2023-06-05T13:51:00Z,41.50,Charge 5
2023-06-05T13:52:00Z,78.40,Charge 5
2023-06-05T13:53:00Z,35.30,Charge 5
2023-06-05T13:54:00Z,12.20,Charge 5
2023-06-05T13:55:00Z,6.90,Charge 5
2023-06-05T13:56:00Z,16.10,Charge 5
