timestamp,temperature celsius,data source
2026-02-28T05:48:00Z,29.9,Charge 6
2026-02-28T05:49:00Z,29.9,Charge 6
2026-02-28T05:50:00Z,29.9,Charge 6
2026-02-28T05:51:00Z,29.9,Charge 6
2026-02-28T05:52:00Z,29.8,Charge 6
2026-02-28T05:53:00Z,29.9,Charge 6
2026-02-28T05:54:00Z,30.2,Charge 6
2026-02-28T05:55:00Z,30.4,Charge 6
2026-02-28T05:56:00Z,30.6,Charge 6
2026-02-28T05:57:00Z,30.7,Charge 6
2026-02-28T05:58:00Z,30.9,Charge 6
2026-02-28T05:59:00Z,31.0,Charge 6
2026-02-28T06:00:00Z,31.2,Charge 6
2026-02-28T06:01:00Z,31.3,Charge 6
2026-02-28T06:02:00Z,31.4,Charge 6
2026-02-28T06:03:00Z,31.5,Charge 6
2026-02-28T06:04:00Z,31.6,Charge 6
2026-02-28T06:05:00Z,31.7,Charge 6
2026-02-28T06:06:00Z,31.7,Charge 6
2026-02-28T06:07:00Z,31.8,Charge 6
2026-02-28T06:08:00Z,31.9,Charge 6
2026-02-28T06:09:00Z,31.9,Charge 6
2026-02-28T06:10:00Z,32.0,Charge 6
2026-02-28T06:11:00Z,32.0,Charge 6
2026-02-28T06:12:00Z,32.1,Charge 6
2026-02-28T06:13:00Z,32.1,Charge 6
2026-02-28T06:14:00Z,32.2,Charge 6
2026-02-28T06:15:00Z,32.2,Charge 6
2026-02-28T06:16:00Z,32.3,Charge 6
2026-02-28T06:17:00Z,32.3,Charge 6
2026-02-28T06:18:00Z,32.1,Charge 6
2026-02-28T06:19:00Z,31.8,Charge 6
2026-02-28T06:20:00Z,31.6,Charge 6
2026-02-28T06:21:00Z,31.4,Charge 6
2026-02-28T06:22:00Z,31.2,Charge 6
2026-02-28T06:23:00Z,31.0,Charge 6
2026-02-28T06:24:00Z,30.9,Charge 6
2026-02-28T06:25:00Z,30.7,Charge 6
2026-02-28T06:26:00Z,30.6,Charge 6
2026-02-28T06:27:00Z,30.6,Charge 6
2026-02-28T06:28:00Z,30.4,Charge 6
2026-02-28T06:29:00Z,30.4,Charge 6
2026-02-28T06:30:00Z,30.3,Charge 6
2026-02-28T06:31:00Z,30.1,Charge 6
2026-02-28T06:32:00Z,30.1,Charge 6
2026-02-28T06:33:00Z,30.1,Charge 6
2026-02-28T06:34:00Z,30.3,Charge 6
2026-02-28T06:35:00Z,30.4,Charge 6
2026-02-28T06:36:00Z,30.5,Charge 6
2026-02-28T06:37:00Z,30.4,Charge 6
2026-02-28T06:38:00Z,30.2,Charge 6
2026-02-28T06:39:00Z,30.1,Charge 6
2026-02-28T06:40:00Z,30.0,Charge 6
2026-02-28T06:41:00Z,29.9,Charge 6
2026-02-28T06:42:00Z,29.9,Charge 6
2026-02-28T06:43:00Z,29.9,Charge 6
2026-02-28T06:44:00Z,30.1,Charge 6
2026-02-28T06:45:00Z,30.1,Charge 6
2026-02-28T06:46:00Z,30.0,Charge 6
2026-02-28T06:47:00Z,29.9,Charge 6
2026-02-28T06:48:00Z,29.9,Charge 6
2026-02-28T06:49:00Z,30.1,Charge 6
2026-02-28T06:50:00Z,30.0,Charge 6
2026-02-28T06:51:00Z,29.8,Charge 6
2026-02-28T06:52:00Z,29.7,Charge 6
2026-02-28T06:53:00Z,29.6,Charge 6
2026-02-28T06:54:00Z,29.6,Charge 6
2026-02-28T06:55:00Z,29.7,Charge 6
2026-02-28T06:56:00Z,29.8,Charge 6
2026-02-28T06:57:00Z,30.0,Charge 6
2026-02-28T06:58:00Z,30.2,Charge 6
2026-02-28T06:59:00Z,30.3,Charge 6
2026-02-28T07:00:00Z,30.4,Charge 6
2026-02-28T07:01:00Z,30.5,Charge 6
2026-02-28T07:02:00Z,30.5,Charge 6
2026-02-28T07:03:00Z,30.6,Charge 6
2026-02-28T07:04:00Z,30.6,Charge 6
2026-02-28T07:05:00Z,30.6,Charge 6
2026-02-28T07:06:00Z,30.6,Charge 6
2026-02-28T07:07:00Z,30.6,Charge 6
2026-02-28T07:08:00Z,30.4,Charge 6
2026-02-28T07:09:00Z,30.1,Charge 6
2026-02-28T07:10:00Z,29.9,Charge 6
2026-02-28T07:11:00Z,29.9,Charge 6
2026-02-28T07:12:00Z,29.8,Charge 6
2026-02-28T07:13:00Z,29.9,Charge 6
2026-02-28T07:14:00Z,29.9,Charge 6
2026-02-28T07:15:00Z,29.8,Charge 6
2026-02-28T07:16:00Z,29.9,Charge 6
2026-02-28T07:17:00Z,29.9,Charge 6
2026-02-28T07:18:00Z,29.8,Charge 6
2026-02-28T07:19:00Z,30.0,Charge 6
2026-02-28T07:20:00Z,30.0,Charge 6
2026-02-28T07:21:00Z,30.1,Charge 6
2026-02-28T07:22:00Z,30.2,Charge 6
2026-02-28T07:23:00Z,30.2,Charge 6
2026-02-28T07:24:00Z,30.3,Charge 6
2026-02-28T07:25:00Z,30.1,Charge 6
2026-02-28T07:26:00Z,30.0,Charge 6
2026-02-28T07:27:00Z,30.0,Charge 6
2026-02-28T07:28:00Z,30.1,Charge 6
2026-02-28T07:29:00Z,29.9,Charge 6
2026-02-28T07:30:00Z,29.8,Charge 6
2026-02-28T07:31:00Z,29.8,Charge 6
2026-02-28T07:32:00Z,29.8,Charge 6
2026-02-28T07:33:00Z,29.8,Charge 6
2026-02-28T07:34:00Z,29.9,Charge 6
2026-02-28T07:35:00Z,29.9,Charge 6
2026-02-28T07:36:00Z,29.9,Charge 6
2026-02-28T07:37:00Z,29.8,Charge 6
2026-02-28T07:38:00Z,29.7,Charge 6
2026-02-28T07:39:00Z,29.5,Charge 6
2026-02-28T07:40:00Z,29.4,Charge 6
2026-02-28T07:41:00Z,29.3,Charge 6
2026-02-28T07:42:00Z,29.3,Charge 6
2026-02-28T07:43:00Z,29.4,Charge 6
2026-02-28T07:44:00Z,29.6,Charge 6
2026-02-28T07:45:00Z,29.8,Charge 6
2026-02-28T07:46:00Z,30.0,Charge 6
2026-02-28T07:47:00Z,30.0,Charge 6
2026-02-28T07:48:00Z,30.1,Charge 6
2026-02-28T07:49:00Z,30.1,Charge 6
2026-02-28T07:50:00Z,29.8,Charge 6
2026-02-28T07:51:00Z,29.7,Charge 6
2026-02-28T07:52:00Z,29.5,Charge 6
2026-02-28T07:53:00Z,29.4,Charge 6
2026-02-28T07:54:00Z,29.3,Charge 6
2026-02-28T07:55:00Z,29.2,Charge 6
2026-02-28T07:56:00Z,29.2,Charge 6
2026-02-28T07:57:00Z,29.4,Charge 6
2026-02-28T07:58:00Z,29.4,Charge 6
2026-02-28T07:59:00Z,29.3,Charge 6
2026-02-28T08:00:00Z,29.2,Charge 6
2026-02-28T08:01:00Z,29.0,Charge 6
2026-02-28T08:02:00Z,29.0,Charge 6
2026-02-28T08:03:00Z,29.1,Charge 6
2026-02-28T08:04:00Z,29.3,Charge 6
2026-02-28T08:05:00Z,29.4,Charge 6
2026-02-28T08:06:00Z,29.5,Charge 6
2026-02-28T08:07:00Z,29.6,Charge 6
2026-02-28T08:08:00Z,29.6,Charge 6
2026-02-28T08:09:00Z,29.7,Charge 6
2026-02-28T08:10:00Z,29.7,Charge 6
2026-02-28T08:11:00Z,29.6,Charge 6
2026-02-28T08:12:00Z,29.5,Charge 6
2026-02-28T08:13:00Z,29.4,Charge 6
2026-02-28T08:14:00Z,29.3,Charge 6
2026-02-28T08:15:00Z,29.2,Charge 6
2026-02-28T08:16:00Z,29.2,Charge 6
2026-02-28T08:17:00Z,29.2,Charge 6
2026-02-28T08:18:00Z,29.2,Charge 6
2026-02-28T08:19:00Z,29.0,Charge 6
2026-02-28T08:20:00Z,28.9,Charge 6
2026-02-28T08:21:00Z,28.8,Charge 6
2026-02-28T08:22:00Z,28.7,Charge 6
2026-02-28T08:23:00Z,28.6,Charge 6
2026-02-28T08:24:00Z,28.6,Charge 6
2026-02-28T08:25:00Z,28.6,Charge 6
2026-02-28T08:26:00Z,28.7,Charge 6
2026-02-28T08:27:00Z,28.9,Charge 6
2026-02-28T08:28:00Z,29.0,Charge 6
2026-02-28T08:29:00Z,28.9,Charge 6
2026-02-28T08:30:00Z,28.9,Charge 6
2026-02-28T08:31:00Z,28.8,Charge 6
2026-02-28T08:32:00Z,28.8,Charge 6
2026-02-28T08:33:00Z,28.9,Charge 6
2026-02-28T08:34:00Z,29.1,Charge 6
2026-02-28T08:35:00Z,29.1,Charge 6
2026-02-28T08:36:00Z,29.0,Charge 6
2026-02-28T08:37:00Z,28.9,Charge 6
2026-02-28T08:38:00Z,27.3,Charge 6
2026-02-28T08:39:00Z,26.2,Charge 6
2026-02-28T08:40:00Z,25.4,Charge 6
2026-02-28T08:41:00Z,24.6,Charge 6
2026-02-28T08:42:00Z,24.0,Charge 6
2026-02-28T08:43:00Z,23.5,Charge 6
2026-02-28T08:44:00Z,23.1,Charge 6
2026-02-28T08:45:00Z,22.8,Charge 6
2026-02-28T08:46:00Z,24.8,Charge 6
2026-02-28T08:47:00Z,26.5,Charge 6
2026-02-28T08:48:00Z,27.3,Charge 6
